text,label
"기후변화, 은행·기업들의 재무 리스크로 봐야",0
코로나19도 못막은 카카오 '매출 4조 시대'(종합),1
"택배노동자 사망한 CJ대한통운, ESG 등급 하락",0
기후위기 리스크 경고한 한은 “친환경 부문에 자금 공급',2
"카카오 노조 류영준 대표 내정자 사퇴, 당연한 결정",1
"서울반도체, 美 조명 기업 파이트 상대로 특허 침해 소송",1
전북건설업계 ESG 낙오기업 전락 우려,0
"위기의 롯데, 유통수장 첫 외부 수혈…대규모 임원 인사 단행",1
지역 경제 활성화 vs 지자체 예산 부담… 지역화폐 존폐 기로 (심층기획),1
[단독] ESG 공시법안 난립…기업은 고달프다,0
'국감 출석' 홍원식 남양유업 회장…제3의 매각대상 찾겠다,1
역대급 위기의 남양유업…ESG로 반전 필요,1
"UN본부에 전시됐던 한솥도시락, ESG경영철학이 빚은 '100% 국산김치 사용'",2
"[시그널] EY한영, 외형·내실 다잡았다…'매출 5,300억에 영업이익율 6.5%'",1
"쿠팡 1000억 자사주, 사무직 직원은 못 받는다",1
[금융 新패러다임 ESG]삼성생명법·금융집단감독법…'과잉규제' 우려,0
"박찬구 금호석화 회장, 최대 실적 내고 '용퇴'…전문경영인 체제로",1
[마켓인사이트]LG전자 회사채 수요예측에 1.2조원 '뭉칫돈',1
"공정위, 5년간 대기업 과징금 5700억… 현대차 1위 '불명예'",0
"민주 韓, 국정농단 홍역에도 무디스 지배구조 평가 1등급…놀랍다",2
"애플,테슬라, 中 인권,환경문제 외면'",0
기후위기 대응 불 밝힌 기업들,2
"쿠팡 빠진 ㈜한진, 3분기 영업익 31% 감소",1
ESG ‘A등급’이라더니…윤리경영에 문제 드러낸 IT 기업들,0
알루미늄 작가 윤경렬이 환경 파괴에 던지는 '경고',1
"수탁위가 기업 소송 자루쥘 판인데, 회의록,추천단체 비공개…깜이논란",1
中 문 닫자 아모레퍼시픽 2Q 적자전환...1년 6개월만,1
"CJ제일제당, 체력 개선에도 과도한 저평가 상태-NH",1
"시민단체들 HDC현대산업개발 주총 안건, 쇄신의지 부족",0
"'분할 상장' 에코프로에이치엔, 장중 10% 급락한 까닭",1
"에너지대란에 석탄발전 부활… 탄소중립,ESG도 역주행",0
SK텔레콤 '긴급 SOS'-소방청 '119 안심콜' 연동,2
"글로벌 공급망 ‘ESG 실사’에 속수무책…국내 수출기업 절반, 계약 파기 ‘위기감’",0
"주주대표소송, 기업 투자 의욕 훼손 …정치,이념적 주주권 행사는 부적절",0
지역기업들 ESG 중요하지만…비용 증가 우려,0
정성권 아시아나항공 대표 “ESG경영은 혁신의 핵심…기대 못 미치면 생존 위태',1
코로나 팬데믹서 '점프'…혁신으로 위기 넘은 기업들,1
"상단부 문제로 연기된 '차세대중형위성 1호', 22일 재발사 시도",1
삼척블루파워 회사채 수요 '0'…ESG 확산에 투자자들 외면,1
기술주 폭락에…1년만에 푹 꺼진 ESG 투자(기로에 선 기후정책③),0
"‘코로나 특수’로 성과급 잔치 금융지주들, 사회공헌금은 줄였다",0
"[더벨]'적자폭 축소' CBI, 공장 이전 배치해 비용 절감",1
중소기업 절반이상 ESG경영 스스로 미흡하다고 느껴,0
"EU 탄소국경조정제, 수출 기업에 부담…무역장벽 우려'",0
기업들 “2050 탄소중립…당장은 위기요인',0
[시그널] 무디스 공격적 투자 부담…SK E&S 신용등급 강등,1
[유통도 ESG ⑫] 뷰티기업 순위대로 아모레.LG생건 'A등급'...나머진 과락,1
"'ESG 모범생'이라던 유니레버, 홍차 매각하는데 ESG가 발목",0
“지역 중소기업 ‘ESG 경영’ 인식 부족',0
에코프로에이치엔 장중 10% 급락…이유는 바로,1
"'롯데 껌' 신화에 갇힌 롯데, 신동빈이 깰까",1
납품업체 탄소배출량까지… ESG 공시 부담에 떠는 기업들,0
"우리금융, 글로벌 기후변화 리스크 전략 반영… 석탄발전소 신규대출 약정도 중단",2
"‘인적분할 기대감’ LG, 거래정지 앞두고 불티",1
"안다운용, SK케미칼에 주주서한 SK바사 물적분할로 주주가치 훼손",0
업무·비용 부담에 개념도 모호...ESG 경영 주저하는 중견기업,0
"기관,사업 혁신 해의 중진공人 누구 ",1
"수익 챙긴 증권사, 양성평등은 못 챙겨… 남녀 임금 격차 대 2배",0
산재에 책임회피 확산되는 '쿠팡 탈퇴' 주가 영향은,0
ESG 공시 의무화 이어 재무제표까지…기업 부담 쌓인다,0
지구의 승리!… '기후변화 역풍' 맞은 글로벌 석유기업들,0
수출입 중소기업 87% “1년 이상 물류난 지속 전망',0
ESG로 멈췄다…10조 넘게 쏟아부은 도화설비 전쟁,0
"ESG 앞장서는 SK, 최신원 회장 횡령에 발목",0
'그린워싱' 방지 나선 EU...한국 기업엔 오히려 기회,1
SK 회적가치 18조4000억 창출…환경에선 -2조9000억 부정 성과,0
"홈플러스,롯데쇼핑 등 유통업계, 신용도 하락에 자금조달 부담↑",1
"여긴 'AA'인데 저긴 'CCC'···못믿을 ESG 등급, 기관별 제각각",1
"POSCO·KCC·한화 등 소재업종 ESG, '리스크' 노출로 휘청",0
홍보문구만 친환경인 척…'가짜 친환경' 주의보,0
"ESG 열풍에 힘못쓰는 '죄악주'…외국인 KT&G, 강원랜드 매도",1
'원자재 수급 애로·글로벌 물류난'에 투자계획 못세운 기업들,1
롯데 신동빈 “실패보다 나쁜 건 실패조차 없는 것',1
文대통령 가입 뉴딜펀드 수익률 저조,1
글로벌 경쟁업체 추격 속 올스톱.. 대규모 투자·M&A ‘물거품’ 우려,1
안전소홀 기업은 투자 못받아…'깐깐한 ESG'가 산재 막는 방패,1
[동십자각] ‘그린워싱’이 위험한 이유,0
"카카오, 먹튀 논란에 계열사 경영 직접 관리로 신뢰회복 나서",2
ESG 미흡한 협력사 줄퇴출 위기…정부 대기업이 끌어줘야,1
"“대기업 64%, 올해 상반기 채용 없거나 미정' [한경연 조사]",0
"(국감브리핑)로만 친환경 경영, 일회용품 저감에믄 무관심한 공공기관",0
"최태원 “공정위 실트론 제재, 아쉬운 결과···반성할 부분 반성'",1
"파이퍼샌들러 비욘드미트, 3분기 매출 감소할 것…목표주가 하향 [강영연의 뉴욕오프닝]",1
[2021 GGGF] 선진국 걸맞은 기업 가치 없인 역풍 분다···기후변화 대전환 필요,0
"[시그널] '착한 채권' 도전하는 롯데글로벌로지스, 택배법 이슈에 '발목'",0
"현대제철, 작년 영업익 730억…코로나 여파에 전년비 78.0%↓",1
"ESG 리스크, 기업의 지속가능성 위협...ESG 점검해야",1
"'70달러 돌파' 유가, 더 가나 멈추나…정유·항공·석화·조선업계 '촉각'",1
고승범 이번엔 증권 빚투 경고…과도한 레버리지는 자신시장 거품,1
한덕수 총리 후보자 19억 고문료 논란…로펌 고문들 무슨일 하길래,1
아직도 먼 ESG…국내 제조기업 62.3% “친환경 신사업 추진계획 없다',0
[마켓인사이트]국민연금 사외이사 추천 사실상 무산 수순…“기습 발의 막을 제도적 보완 필요',1
김준 친환경 전환은 위기이자 기회…SK이노 'ESG리포트' 발간,1
코로나에 'ESG쓰나미'까지...기업 생존의 '이중고 파고',0
아기욕조서 612배 환경호르몬… 피해자엔 달랑 위자료 5만원,0
기업들 ESG 평가지표에 혼란 가중… '한국형 표준안' 만든다,1
"소상공인들 “대기업, 폐플라스틱 재활용 사업 철수해야'",1
국내 200대 기업 80% 'ESG 리스크'에 노출,0
SK바이오팜 난해 사회적가치(SV) 1521억원 창출,2
"기업경영환경 선진국 대비 열악, 기업가정신도 쇠퇴",0
[기자수첩]카카오 '먹통' 꼬리표 언제 떼나,0
[기자의눈] 주가 하락의 아이콘 '한국전력',1
"이재명 보수언론, 일산대교 무료화 정치공세 즉각 중단해야",1
"카카오만 집중적으로 때렸는데, 네이버 왜 덩달아 폭락했나 [View & Review]",1
김범석 사임 예정됐다해도···쿠팡탈퇴로 이어진 'MZ 분노',0
"삼성중공업, '어닝쇼크+무상감자+유상증자'에 15%대 급락",1
[단독]與野 '한국형 ESG' 초당적 논의…SK-LG에 '러브콜',1
상장사 68%는 ‘3%룰’로 부담…대한상의 기 정부선 개선해야,1
경제수장도 '인플레 경고'…심각해진 정부,1
"이재명 제 합리화,정부가 할 일유연근로제 확대 요구엔 난색",0
"3%룰이 부른 '가족의 난', 기업 필수 된 선한 경영 'ESG' [올 주총 이슈 2제]",1
'코로나수혜'에도 식품업계 절반은 사회공헌 줄였다...기부액 CJ제일제당KT&G 순,0
[기자수첩]중소기업에 너무 먼 ESG,0
"삼정KPMG 테크 기업, 에너지 사용 등 ESG 리스크 직면해",0
"‘오백슬라’ 되나… 테슬라, 최대 리스크는",1
"[압박받는 ESG경영] '발등의 불' 된 ESG… 기준은 제각각, 기업은 우왕좌왕",0
"[시그널] '역외 탈세' 칼 빼든 당국…PEF, M&A 위축 불가피",1
"에듀윌, ‘편법 증여’ 했나…회장 일가 회사에 일감 몰아줘 논란",0
"[OBS 비즈투데이] 美 ITC SK, LG 영업 비밀 침해 명백 外",1
[컨콜 종합]LG유플 황현식 '찐팬 전략' 먹혔나…분기 최대 영업익,1
"상장사 회계감사,ESG 공시 부담 커…금융당국 기업 의견 반영해 제도 개선",1
엄격해진 ESG 잣대…한전 발전자회사·철강사도 '곤혹',0
"[삼성 3년간 240조 메가투자] 점점 커지는 미래위기… 이재용, 구원투수 전면 나서",1
"HDC현산, 상반기 매출 늘었지만 영업이익 적자전환",1
'여성 이사' 모시기 혈안된 기업들…전문가 '구인난',1
"“철강업, 탄소제로에 30년간 68조원 들어… 국가적 지원 필요해'",0
기업 42% “친환경 신사업 위해 세제-금융 지원 시급',0
'방탄천장' 됐나…ESG 경영 바람에도 금융사 유리천장 여전(종합),0
"선의가 다가 아냐 봇물터진 ESG 시대, 다논의 경고",1
"불황에 거세진 ESG 역풍 구호 아닌 성과를 보여줘야(광화문에서,신수정)",1
롯데케미칼·네이버 등 16곳 ESG 등급 하향,0
"건물 붕괴에 잇딴 화재, 건설·부동산 'S' 리스크 '빨간불'",0
글로벌 ESG 공시기준 제정 눈앞…기업에 과도한 부담 우려,0
"롯데케미칼, 눈물의 적자,,,흔들림 없이 그린사업 투자 잇는다",2
"(사설) 어이없는 상장사 횡령사고, 소액주주 피해 줄여야",1
"'미중 경쟁서 ESG까지', 기업 의사결정 더 어려워져…대한상의 웨비나",1
"강병원 국민연금, 日전범기업에 1.5조 투자...국민 정서에 맞지 않아",0
"서울반도체, 美 최대 가정용 조명회사 이트상대로 특허침해 소송",1
대기업 ESG 경영 요구 느는데… 협력 중소기업 지원 없어 부담,0
글로벌 환경규제로 동남권 철강산업 어려움 가중될 전망,0
"이위환 건설근로자공제회 CIO 코로나1년, 대체자산 리스크 우려",1
"내부통제 부실·유리천장…금융권, 혁신없는 지배구조",0
힘 빠진 ESG…수익률 ‘뚝’ 反ESG 펀드도 등장,0
국내 소비자 EGS 평가 파트 건설사 제일 못 해,0
[단독] M&A 좌우할 'ESG 성적표'…구조조정 급한 기업들 발등에 불,0
"(매경데스크) 복지,ESG에 밀려 찬밥 신세 세나",1
8000만원 더 달라는 삼성 노조…어떻게 생각하십니까 (비즈360),0
파업 시 서비스 불통…네이버 계열사 노사 갈등 격화,0
"[생생경제] 아시아나, 대한항공 M&A 지지부진한 이유...이렇게 한가하게 있을 때 아냐",1
日 '기후변화 리스크' 공시 의무화,1
지난해 중견기업 매출액 770조원…통계작성 후 처음으로 감소,1
車배터리 소송 밀린 SK… ‘특허소송’ 카드로 판세 뒤집기,1
"에너지공공기관 ‘유리천장’ 깨졌다…한전, 123년 만에 첫 여성 본부장",2
"국내 수출기업 절반 이상 공급망 ESG 경영 미흡, 계약 파기 걱정",0
'ESG 경영' 외쳤지만 지배구조 B·C등급…공염불된 금융사 ‘G’,0
이재명 “보은인사 아냐' 이낙연 “채용비리 많아'…황교익發 명낙대전 확전하나,1
"카카오 작년 4분기 영업이익 27% 감소…인건비,투자 증가",1
"독일 검찰, 현대차,기아 압수수색…‘배기가스 조작혐의’",0
"“글로벌 투자자, ESG 개입 증가…국내 기업 선제대응 필요'",1
"여성이사할당제 시작되는데… 기계,중공업 기업은 성천하(노동시장 경직 여전)",0
"난립하는 ESG지수에 기업 혼란…정부, 한국형 'K-ESG' 표준 만든다",1
매경·NH證 '한국형 ESG지수'…금융계 러브콜,1
"하나은행, ‘적도원칙’ 가입…“환경파괴 우려 PF엔 금융지원 안 해'",2
불붙은 금호석화 경영권 분쟁…배당확대·ESG 경영 최대쟁점,1
"삼정KPMG 테크 기업, 에너지 사용,보안 등 ESG 리스크 직면",0
"위니아딤채, 올해 자발적 리콜 26만대…잔량 9만대",0
"'호실적의 역설' AAA 눈앞에 둔 포스코, 탄소세 우려에 발목 잡히나",0
"파업도 고려…네이버노조, 5개 계열사 쟁의행위 본격화",0
"롯데케미칼, 지난해 영업이익 68% 감소한 3533억원",1
국민연금 투자 기업들은 범생 관리 잘 되는데…ESG로 압박 더하는 수탁위,1
"[유통도 ESG?] 현대百그룹, 환경 부문 대기업 평균미달",0
(기고) 재무성과 간과하는 ESG는 위험,1
국민연금 SG 범위확대…무분별한 주주권 행사 우려,0
연일 치솟는 유가에…페인트업계 적하락 쇼크,1
제품 디자인까지 제한 과도한 경 족쇄 …中企 수출경쟁력 악화일로,1
"ESG 공시 표준화해야…韓기업, 세계기준과 아직 격차",0
"엔씨소프트, 국내 플랫폼,게임 기업 중 ESG 위험 가장 낮아",2
"[클릭 e종목] 삼성물산, 코로나19에 지난해 부진…주주환원과 지분가치 주목해야",1
"[유통도 ESG ⑭] '과로사 논란' CJ대한통운, 사회적책임 개선 박차",2
"8천억 투자했는데…SK E&S 참여 ‘바로사 가스전’, 항소심서도 패소",1
도쿄올림픽 종이침대 논란에…한국 기업은 훨훨 날았다,1
"3%룰 이어 대표訴,탄소중립까지…잇단 경영권 제약에 기업 전전긍긍",0
"기차 1위테슬라, S&P ESG 지수서 퇴출 충격…머스크는 사기(종합)",0
현장 책임자들 과실치사 적용 가능성…근로자 사망 없어 대표는 처벌 면할듯,0
재계 “기업 경영 비효율화 부작용'…시민단체 “주주자본주의 선진화 결실' [헤럴드 뷰-소액주주운동 명과 암],0
"한국금융지주, 증시 거래대금 감소 반영해 목표주가 10만원으로 하향 (SK증권)",1
현대제철 ‘친환경 경영’ 순항…‘녹색채권’에 2조원 넘게 몰려,2
"[1보] 현대제철, 코로나19에 휘청···지난해 영업익 78% 줄어",1
‘7명 사망 화재’ 현대百 대재해법 적용 우려…신용도 흔들리나,0
다올투자증권 LG 목표가 11만원9만원…성장지분 가치 감소 영향,1
유럽 ESG 경영 의무 법제화 추진…새로운 비관세장벽 우려,0
건설사로서 가치 상실…광주 참사 현대산업개발 정몽규 퇴진하나,0
'차선 두고 최악' 상법 3%룰 밀어붙인 여당…대안은,1
조오섭 도공사 태양광사업 실적 0%,0
수익성 논란에… 美·EU ‘녹색채권’ 규제 강화,1
꼬여만 가는 나주 SRF 발전소 갈등 어쩌나,1
"공익·환경만 강조하다 경영 망가진 ‘다논’… ESG, 과연 좋기만 한 것일까",1
"[한승주 칼럼] 박카스 불매운동, 그 너머",0
K-택소노미서 빠진 원전… 해외 수주전 치열한데 수출길 악재,1
석탄 투자에 지역사회 문제까지…한국전력 ESG 어쩌나,0
정은보 시장조성자 과징금 증권사에 과도한 부담…금융위와 논의해 결론낼 것,1
"포스코서 구매대행, 철강업계 '적과의 동침'",1
LG디스플레이 등 18개사 ESG 등급 하향조정,0
[시그널] 희비갈린 회사채…사조산업·팬오션 '온도차',1
"한국, 기후변화로 매년 18조 손실",0
"삼바, 026년 바이오 의약품 공급 차질 빚을 것…초격차 경쟁력으로 고객사 신뢰 구축",1
서울반도체 특허 침해 말라 美 업체에 소송,1
또 다른 '갑질 임원' 신고했지만…징계 없이 종결,0
이번엔 불가리스 파문에 우는 남양유업 대리점들,0
[앤츠랩]'수주 풍년' 한국조선해양…그런데 현대중공업 IPO는 왜?,1
"애플發 탄소압박… 삼성,LG, 수출 장벽 더 높아졌다",0
수출기업 2곳 중 1곳 ESG 미흡으로 계약파기 위기감 느껴,0
"대한상의 “우리나라 ESG 투자, 양과 질 모두 취약'",0
수출 회복에도 기업은 3중고…경쟁격화에 마진·점유율 뚝,1
"롯데, 불공정행위 피해 기업과 상생 기회 또 놓쳐 … 조정 합의 실패",0
"지방공기업 새 평가 기준, ‘사회적 가치’ 밀렸다",1
남혐 vs 여혐 정치권도 부추긴 젠더갈등...일자리가 답이다,1
노조 설립 후 주가 폭락한 스벅...결국 은퇴한 황제마저 복귀 (추적자 추기자),0
"[해양수산칼럼] 부산신항 하역계약, 이대로는 안 된다 /남기찬",1
반기문 유엔의 석탄발전 감축 기대 못미쳐…기업 탈탄소 기술 적극 나서야,0
경제단체 새 바람 부는데…'구인난' 전경련은 경총 통합설까지,1
한국 환경위기시각 9시 28분…위험 단계,1
폴리실리콘값 날자 OCI '실적 점프'…한화큐셀은 먹구름,1
국민연금도 외면… 한국 ESG는 그린워싱(위장 환경주의),0
"포스코, 타사 사례와 다른 물적분할 결정…과도한 우려-유안타",1
"[되돌아본 2021]④ 광주시 대형 사업, 행정소송에 줄줄이 제동",1
무디스 평가에 환호한 與 vs 野 고용 참사에도 자화자찬 [여의도 브리핑],1
"삼성SDI, BMW·볼보·구글과 “심해저 광물 채굴 중단' 선언...배터리업계 유일",2
증시 변동성 여파 ‘친환경펀드’도 고전...‘수소경제’ 펀드만 선전,1
EU의 ‘ESG 경영’ 의무화 추진에 한국 중소기업들 ‘발등에 불’,0
금호석유 ‘조카의난’ 점입가경…박철완 요구한 사외이사 누구 ,0
"제조기업 91% 하반기 글로벌 공급망, 상반기와 비슷하거나 악화",1
"키움증권, 카카오 목표주가 7만 2000원…28% 하향",1
산은 '1호' 뉴딜예금 출시…예금상품 외면에 후속작은 '글쎄'(종합),1
카카오 먹통 사태 원인조사 소위원장에 이확영 그렙 CEO,1
정치권 압박 속 주목받는 국민연금의 '책임투자’ 행보…오히려 일부기업 주주권은 내려놔,0
총수 부재에 ESG 경영도 위기,0
“ESG 경영하는 척하는 ‘그린 워싱’땐 외면당한다',0
"현산 불똥…현대EP, ESG債 발행 연기",0
"'주가 하락' HMM, 배당 확대 등 주주환원 적극 나설 것",1
금호석유 역대급 실적 속 박찬구 대표이사 사임…“전문경영인 체제 전환',1
"플랫폼 업계, 율규제 기대반 우려반",1
"세계13위 한국증시, 내적으론 미성숙 … ‘코리아 디스카운트’ 해소 발목'",1
"[종합] SK하이닉스, 차세대 D램 공장 M16 준공...최태원 “작년 연봉 모두 반납'",1
시총 2조 회사가 구멍 가게보다 못해 10억 물렸다…오스템임플란트 880억 횡령사태에 개미들 분통,0
"SKT, 충남 백신접종 대상자 123만명에 '누구 백신 케어콜' 운영",1
늬만 친환경그린워싱 주의보,0
ESG 경영 강화하는 기업들 “신뢰 잃으면 생존 어렵다',2
반기문 전 총장 COP-26 탄소중립 시점 완화에 실망…2050년 달성 못 박아야,1
"머스크 ESG는 사기다…테슬라, S&P ESG 지수에서 퇴출",0
ESG 실천 못하는 금융사 외면받을 것,1
수요 줄고 투자 위축...배달대행업계 존 돌파구찾기 안간힘,1
"공정위, 최근 5년 대기업 과징금 5700억… 현대차 1788억 1위",0
견조한 동박에도…화학 부진에 SKC 3분기 순손실 기록,1
친환경주 너무 올랐나…'녹색 버블' 경고음,1
"대구기업 10곳 중 6곳, 내년 경제 ‘불황’ 예상…내수 부진 악순환 등 우려",1
"잇따른 산재, 정몽규 회장에게 이런 경영하고 싶냐고 물어야'",0
"산업계 탄소중립 시설투자, 세액공제 역차별 호소",1
"삼성SDI, 글로벌 기업들과 ‘심해저 광물 채굴’ 중단 선언",2
높아지는 글로벌 '탄소장벽'…저탄소 기술개발 지원 절실,0
美월가 흔든 '빚투' 현대모비스로 불똥..아케고스 대표가 사외이사,0
금호석화 '조카의 난' 박철완 2025년 시총 20조원 회사 만들 것,1
코로나 여파 대졸자 고용률 10년來 최저…고용질도 낮아져',0
남양유업-한샘 인수전 보니…사모펀드 명암 엇갈려,1
"이재명 중기,노동자 존중받아야…기업간 불공정 거래 일소",1
"복합위기 심상찮다신동빈 롯데 회장, 부산서 사장단과 머리 맞대",1
기업인들 ESG 관심은 많지만 개념·평가방식 모호,1
"위기의 카카오, 새 선장에 남궁훈 전 카겜 대표",1
[HERI 칼럼] 해운사 담합 면죄부 법 / 곽정수,1
"장애인고용 불이행증권사 5곳, 평균 0.73%… 돈 내면 그만",0
탄소국경조정제도 이행 시 철강업계 피해 우려,0
'항바이러스' 경쟁 불붙은 페인트 시장,1
"전경련, IFRS 재단 '지속가능성보고기준' 제정 반대...기업 소송 위험 커",1
"진보당 대구시당 제 문제로 접근하는 마트 일요 휴무 폐지 움직임, 명백한 퇴행",1
AI '누구케어콜' 자가격리·능동감시자 관리업무 85% 줄였다,1
코로나19에 원자재 수급 문제까지… 기업 90% “내년 투자계획 못 세워',1
(2022 국감) 자진 출석 카카오모빌리티...택시기사 보상 7550원 말도 안 된다 질타,0
"에이블씨엔씨, 해외·온라인 매출 증가로 2분기 적자폭 개선",1
거세진 ESG 잣대…삼척블루파워 회사채에 줄줄이 곤욕 치르는 대형 증권사[마켓인사이트],0
우려대로...저축은행 밖으로 밀려난 저신용자,1
"[시그널 FOCUS] DL건설, '대세'인 ESG채권 흥행도 실패한 이유",0
"‘미얀마 군부 지원 논란’ 포스코인터내셔널, 반부패 우수기업 수상",1
물적분할로 모회사 주주가치 훼손 운용사 목소리 높인다 (주주행동주의 본격화),0
불매운동 벌어지면 재무구조 좋아도 높은 신용등급 못 받아 [마켓인사이트],1
거래 기업 'ESG 갑질' 신고 접수,0
"G20, 코로나 이후 탈탄소 주춤…韓도 둔화'",0
"SC제일銀, 석탄 관련 기업 ‘대출 중단’",2
[시그널] 기아 첫 ESG채권에 '2兆' 뭉칫돈,2
[로터리] 경영평가는 공공기관 경영의 '조타수',1
"[시그널] 중견·중기 ESG 채권, 신용도 낮아 시장서 외면…인증도 걸림돌",1
女이사 할당제 논란..적임자 없다 VS 기업 노력 부족,0
생색내기·불통 경영…무늬만 ESG 경영 걸러내야,0
신동빈 단기실적 안주하면 더 큰 위기 올 것...기존 틀 벗어라,1
[해외 中企는 지금]실패를 부른 어설픈 ESG 전략,0
원전사고는 재앙…지속가능한 원전은 미신,0
"기업들 2050 탄소중립, 당장은 기회보단 위기요인",0
"[시그널] 베르티스, 피 한방울로 유방암 발견…SK도 반해",1
"[시그널] 'ESG 소외' 화력발전社, 회사채 발행 멈췄다",0
"S&P500 4.04%, 나스닥 4.73% 급락…인플레 압력 확인-미래",1
“2년전엔 모두 우려했지만…' M16 준공식 감격한 최태원,1
"(현장에서) ‘RE100’ 논란, 무식함과 당당함",0
"서울반도체, 특허 침해한 美 최대 가정용 조명회사에 판매금지 소송",1
"일본 의류업체들, 중국 신장면화 사용중단 잇따라",1
'부실' 이미지 깨자···사회공헌 힘쓰는 저축銀,2
"광주 붕괴사고, 우수인재 키우지 못한 건설업의 비극 (인터뷰)",0
"대안없는 에너지 전환·탄소 중립에 세계적 사회 양극화 심화했다 [더 나은 세계, SDGs] (203)",0
웃돈 얹어준대도 안산다… 석탄발전소 회사채 '전량 미매각' 굴욕,1
그린워싱에 바람美 자문사 벌금 이어 도이체방크 자산운용사도 압수수색,0
평가 전권 쥔 정부 입맛따라 기준 바꿔 …경영손실은 국민 몫,1
SK이노 “미국 배터리 사업 의미없게 하는 LG 요구는 수용 불가',1
"[종합] SK네트웍스, 해외호텔사업 부진에 1분기 영업익 35% 감소",1
"생활계 폐플라스틱 재활용 수거 사업, 대기업 시장 잠식 반발",1
